%eval_id	interface	vel____	theta__	A______	B______	n______	c______	s______	d______	pc_____	uc_____	k1_____	k2_____	k3_____	pl_____	ul_____	obj_fn
28	NO_ID	462.7815343	3.328491954	0.298869136	1.153960487	0.732946475	0.011651755	9.222160611	0.021435411	22003224.84	0.003014898	1215526727	5114119543	7845417780	162702207.3	0.387569616	406.9971
29	NO_ID	308.3651728	2.295762179	0.27986344	0.998474863	0.691401542	0.010395305	7.115818969	0.021724735	13166377.37	0.005810238	1266296809	5493468990	8654844263	157046255.7	0.386523918	259.241
30	NO_ID	449.4822244	4.816020082	0.297447805	1.00745795	0.697199329	0.010806378	5.881491862	0.019513057	20265100.05	0.002927826	1198777387	5171552117	8246708681	149253005.9	0.368918348	399.2252
31	NO_ID	571.6986082	4.398734145	0.313158898	1.145515768	0.750118323	0.011112115	7.586929151	0.020989726	9889952.829	0.00160591	1256177977	4578555303	9341384506	144457626.3	0.37531357	514.5014
32	NO_ID	681.6210652	2.878529319	0.294516146	0.98902812	0.686610352	0.011521194	5.992217139	0.022300048	22858587.39	0.005546367	1233700270	4996502308	7797100270	159821615	0.353045369	619.2846
33	NO_ID	595.9903415	0.236616494	0.30329452	1.0943171	0.693976524	0.009721515	8.350119662	0.020977556	7175673.343	0.006120721	1265758400	4602460486	9233299474	168519502.3	0.383804718	536.4924
34	NO_ID	583.4810947	5.870737392	0.291866356	0.999939222	0.743649657	0.010740812	5.418203608	0.019540723	5476482.481	0.006006442	1094532926	5233958421	8582406169	163326956.2	0.332980311	529.9819
35	NO_ID	375.1439182	0.1651069	0.305278325	0.980150384	0.67736854	0.009704619	7.266495288	0.019494854	13862997.91	0.002307955	1144971282	5475275474	8127792083	149628165.9	0.353618381	324.6162
36	NO_ID	427.6452482	3.056263414	0.271214362	1.060459568	0.673364647	0.011756861	6.148878308	0.023507891	12831912.61	0.002528577	1240219280	5431610878	8323241368	149112842.4	0.340339221	378.2611
37	NO_ID	492.9713989	5.574151227	0.288327236	1.019007444	0.661056922	0.010902387	6.369960737	0.023384969	10547765.28	0.001996569	1172388141	4855819389	7916073399	145255730.8	0.370387731	443.4333
38	NO_ID	691.5704682	4.155190392	0.29354812	1.01030816	0.642605825	0.01155164	8.426398498	0.022719139	20106607.96	0.001716938	1107482983	4607679879	9262992326	158439307.7	0.388603826	629.5965
39	NO_ID	377.3828174	4.287015898	0.301057965	1.089013654	0.656754094	0.010433141	8.716809709	0.020713864	10352605.15	0.005522972	1171727255	5438844144	8093991062	171762770	0.391859601	330.2049
40	NO_ID	606.7614267	3.978382752	0.29640524	1.1114436	0.738169469	0.009761126	8.25216616	0.023479269	4749433.534	0.004196767	1080530116	5299678759	7999296452	160291265.4	0.388399794	553.0993
41	NO_ID	676.4341443	5.046485379	0.278507592	1.145399709	0.6377809	0.009968364	7.026136593	0.021456368	6918941.057	0.003540083	1237484743	5386878686	9229412700	167453991.8	0.356241268	616.8432
42	NO_ID	611.0678497	2.367483062	0.269865258	1.113719896	0.721436437	0.011235118	5.10700285	0.020089797	14146898.69	0.003454234	1086349162	4747068397	8606150856	171674239.8	0.32488784	551.5254
43	NO_ID	403.6062915	0.669559726	0.316914026	1.17514426	0.692167112	0.010582136	7.336430146	0.021353875	19250515.5	0.002762987	1236805163	4956812253	8990445796	172884661.7	0.371659389	345.3587
44	NO_ID	470.9973794	4.091717455	0.285730006	1.098582845	0.675422191	0.010091489	7.087863852	0.022913571	16896929.5	0.002751036	1106784566	4947968538	7668111763	144926934.1	0.347162075	419.5607
